anticipation,joy,negative,sadness,disgust,positive,anger,surprise,fear,trust,sEXT,sNEU,sAGR,sCON,sOPN
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,1,1,0,0,1,0,0,1,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
1,1,1,0,0,1,0,0,0,2,2.65,3,3.15,3.25,4.4
1,1,0,0,0,1,0,0,1,0,2.65,3,3.15,3.25,4.4
1,0,2,0,0,1,1,1,1,0,2.65,3,3.15,3.25,4.4
1,2,0,1,0,2,0,0,0,0,2.65,3,3.15,3.25,4.4
0,1,0,0,0,1,0,0,0,1,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
1,1,1,1,0,1,0,1,0,1,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
3,3,0,0,0,3,1,2,1,1,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,1,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,1,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,1,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,1,2.65,3,3.15,3.25,4.4
1,0,0,0,0,0,0,0,1,0,2.65,3,3.15,3.25,4.4
1,0,0,0,0,1,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,1,1,1,0,1,0,0,1,1,2.65,3,3.15,3.25,4.4
0,0,1,0,0,0,1,0,1,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
1,1,0,0,0,1,0,1,0,1,2.65,3,3.15,3.25,4.4
2,1,0,0,0,2,0,0,1,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,2,2,1,0,2,1,1,0,2.65,3,3.15,3.25,4.4
1,0,1,1,0,1,1,1,1,0,2.65,3,3.15,3.25,4.4
2,2,0,0,0,2,1,1,1,2,2.65,3,3.15,3.25,4.4
1,0,1,0,0,1,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,1,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,1,1,0,1,0,0,0,0,2.65,3,3.15,3.25,4.4
0,1,1,1,0,1,0,1,1,0,2.65,3,3.15,3.25,4.4
0,1,0,0,0,1,0,0,0,0,2.65,3,3.15,3.25,4.4
0,0,0,0,0,0,0,0,0,0,2.65,3,3.15,3.25,4.4
2,2,0,0,0,2,0,1,0,1,2.65,3,3.15,3.25,4.4
