sEXT,sNEU,sAGR,sCON,sOPN
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
3.75,3.25,4.5,5,4
1.5,3.8,4.15,3.05,3.95
1.5,3.8,4.15,3.05,3.95
1.5,3.8,4.15,3.05,3.95
