sEXT,sNEU,sAGR,sCON,sOPN
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
4.3,2.15,3.6,3.3,4.1
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
3.35,2.75,2.85,3.1,4.15
