sEXT,sNEU,sAGR,sCON,sOPN
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
4.5,4,3,4.5,3.75
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.15,1.9,4.15,4,3.55
3.25,3.75,1.75,4,3.5
3.25,3.75,1.75,4,3.5
